group,name,sel,mock,err,mds_names,libfracsurvive
IDC0136,8500ug-rep1v2b,mtvir-rep1v2b-IDC0136-8500ug,mtvir-rep1v2b,wt-DNA-rep1,IDC0136-8500ug-rep1v2b,0.04126587
IDC0136,7000ug-rep1v2b,mtvir-rep1v2b-IDC0136-7000ug,mtvir-rep1v2b,wt-DNA-rep1,IDC0136-7000ug-rep1v2b,0.06297330400000001
IDC0136,5500ug-rep1v2b,mtvir-rep1v2b-IDC0136-5500ug,mtvir-rep1v2b,wt-DNA-rep1,IDC0136-5500ug-rep1v2b,0.136000955
IDC0191,6000ug-rep3v2a,mtvir-rep3v2a-IDC0191-6000ug,mtvir-rep3v2a,wt-DNA-rep3,IDC0191-6000ug-rep3v2a,0.000491656
IDC0245,8000ug-rep3v2a,mtvir-rep3v2a-IDC0245-8000ug,mtvir-rep3v2a,wt-DNA-rep3,IDC0245-8000ug-rep3v2a,0.001750749
IDC0337,4000ug-rep1v2b,mtvir-rep1v2b-IDC0337-4000ug,mtvir-rep1v2b,wt-DNA-rep1,IDC0337-4000ug-rep1v2b,0.10200934
IDC0337,4500ug-rep1v2b,mtvir-rep1v2b-IDC0337-4500ug,mtvir-rep1v2b,wt-DNA-rep1,IDC0337-4500ug-rep1v2b,0.091161243
IDC0337,6000ug-rep1v2b,mtvir-rep1v2b-IDC0337-6000ug,mtvir-rep1v2b,wt-DNA-rep1,IDC0337-6000ug-rep1v2b,0.059009668
IDC0396,9000ug-rep3v2a,mtvir-rep3v2a-IDC0396-9000ug,mtvir-rep3v2a,wt-DNA-rep3,IDC0396-9000ug-rep3v2a,0.003733771
IDC0513,5000ug-rep3v2a,mtvir-rep3v2a-IDC0513-5000ug,mtvir-rep3v2a,wt-DNA-rep3,IDC0513-5000ug-rep3v2a,0.00097499
IDC0518,8000ug-rep3v2a,mtvir-rep3v2a-IDC0518-8000ug,mtvir-rep3v2a,wt-DNA-rep3,IDC0518-8000ug-rep3v2a,0.06066259400000001
IDC0546,8500ug-rep3v2a,mtvir-rep3v2a-IDC0546-8500ug,mtvir-rep3v2a,wt-DNA-rep3,IDC0546-8500ug-rep3v2a,0.011035201000000001
IDC208,4000ug-rep1v2b,mtvir-rep1v2b-IDC208-4000ug,mtvir-rep1v2b,wt-DNA-rep1,IDC208-4000ug-rep1v2b,0.150961614
IDC208,5000ug-rep1v2b,mtvir-rep1v2b-IDC208-5000ug,mtvir-rep1v2b,wt-DNA-rep1,IDC208-5000ug-rep1v2b,0.103580829
IDC208,6000ug-rep1v2b,mtvir-rep1v2b-IDC208-6000ug,mtvir-rep1v2b,wt-DNA-rep1,IDC208-6000ug-rep1v2b,0.068418903
IDC403,6000ug-rep1v2b,mtvir-rep1v2b-IDC403-6000ug,mtvir-rep1v2b,wt-DNA-rep1,IDC403-6000ug-rep1v2b,0.001969129
IDC403,7500ug-rep1v2b,mtvir-rep1v2b-IDC403-7500ug,mtvir-rep1v2b,wt-DNA-rep1,IDC403-7500ug-rep1v2b,0.0008930569999999999
IDC403,8500ug-rep1v2b,mtvir-rep1v2b-IDC403-8500ug,mtvir-rep1v2b,wt-DNA-rep1,IDC403-8500ug-rep1v2b,0.000359057
IDC561,2800ug-rep1v2b,mtvir-rep1v2b-561-IgG-2800ug,mtvir-rep1v2b,wt-DNA-rep1,IDC561-2800ug-rep1v2b,0.007366521
IDC561,2200ug-rep1v2b,mtvir-rep1v2b-561-IgG-2200ug,mtvir-rep1v2b,wt-DNA-rep1,IDC561-2200ug-rep1v2b,0.012112296000000002
IDC561,2500ug-rep3e,mtvir-rep3e-561-IgG-2500ug,mtvir-rep3e,wt-DNA-rep3,IDC561-2500ug-rep3e,0.023229918999999998
IDC561,3500ug-rep1v2a,mtvir-rep1v2a-561-IgG-3500ug,mtvir-rep1v2a,wt-DNA-rep1,IDC561-3500ug-rep1v2a,0.00181995
IDC561,3000ug-rep1v2a,mtvir-rep1v2a-561-IgG-3000ug,mtvir-rep1v2a,wt-DNA-rep1,IDC561-3000ug-rep1v2a,0.0024783970000000002
IDF033,1800ug-rep3v2a,mtvir-rep3v2a-IDF033-1800ug,mtvir-rep3v2a,wt-DNA-rep3,IDF033-1800ug-rep3v2a,0.0007303419999999999
IDF033,1400ug-rep3v2a,mtvir-rep3v2a-IDF033-1400ug,mtvir-rep3v2a,wt-DNA-rep3,IDF033-1400ug-rep3v2a,0.001389969
IDF065,1400ug-rep3v2a,mtvir-rep3v2a-IDF065-1400ug,mtvir-rep3v2a,wt-DNA-rep3,IDF065-1400ug-rep3v2a,0.007029193
IDF141,6000ug-rep3v2a,mtvir-rep3v2a-IDF141-6000ug,mtvir-rep3v2a,wt-DNA-rep3,IDF141-6000ug-rep3v2a,0.00023480099999999998
IDF147,5300ug-rep3v2a,mtvir-rep3v2a-IDF147-5300ug,mtvir-rep3v2a,wt-DNA-rep3,IDF147-5300ug-rep3v2a,0.0044904440000000006
